intent,greeting_normalized,text,frequency,pure_greeting,date
saludo_con_solicitud,buenos dias,"Buenos días. No nos gusta incomodar a nuestros clientes, nos interesaría saber si ¿Todavía está solicitando por el cual nos contactó? Le agradecemos mucho su gentileza… Saludos cordiales",11,False,2025-09-17T23:08:04+03:00
saludo_con_solicitud,hola,"Hola, para cotizar el producto que más se acople a tu necesidad, es importante que me brindes más información: características o si tienes una referencia. Quedo súper atenta para cotizarte",10,False,2026-01-20T21:42:53+03:00
saludo_con_solicitud,hola,"Hola buen día, Me gustaría saber ¿Si realizaran el Pedido o para cuando está programado? Estaremos atentos a sus comentarios para Procesar tu Pedido o Cancelarlo",9,False,2025-07-27T03:30:49+03:00
saludo_con_solicitud,cordial saludo,Cordial saludo. Te estas comunicando con el área de compras de Pinzuar SAS ¿Cómo puedo ayudarte,8,False,2026-03-10T17:54:13+03:00
saludo_con_solicitud,buenos dias,"Buenos dias Sra Angela, soy Estefania Gonzalez. la cotizacion esta con descuento del 16% enviame el RUT te realizo el pedido",5,False,2025-10-22T17:29:04+03:00
saludo_con_solicitud,hola,"Hola buenas tardes, como estás",5,False,2026-03-03T01:23:04+03:00
saludo_con_solicitud,hola,"hola buenas tardes, soy Estefania Gonzalez. cuentame que dudas tienen para realizar la compra",5,False,2025-10-16T23:47:15+03:00
saludo_con_solicitud,hola,"Hola buenas tardes, Sra Angela te estaba llamando para validar si ya aprobaron la compra del equipo",5,False,2025-10-23T23:29:27+03:00
saludo_con_solicitud,hola,"Hola soy Estefania, en que te puedo colaborar",5,False,2026-02-25T01:04:51+03:00
saludo_con_solicitud,buenas tardes,"buenas tardes, señora SANDRA, sus equipos se estarn despachando el dia viernes, el motivo del porque no se han despachado es porque el calibrador esta en proceso de la calibracion, pues me acabnan de informar que estaba el LABORATORIO en porceso de AUDITORIAS, para poder recertificar el laboratorio para su acreditacion ante la onac, y hasta hoy empezaron a volver a retomar el proceso de las calibraciones, le pido de antemano disculpas, pues no sabia que habia pasado, pero ya hoy nos informaron que ya estan volviendo a retomar ñabores",4,False,2025-10-29T20:46:30+03:00
saludo_con_solicitud,hola,Hola Briyith buenos dias como estas,4,False,2025-10-08T16:19:38+03:00
saludo_con_solicitud,hola,"Hola buen día, ¿En qué podemos servir? Con gusto",4,False,2025-07-23T19:35:10+03:00
saludo_con_solicitud,hola,"Hola buenas tardes Sra Clara, soy Estefania Gonzalez. te estaba llamando para revisar la cotizacion. cuentame en que momento te puedo llamar",4,False,2025-10-29T22:17:35+03:00
saludo_con_solicitud,hola,"Hola buenos días, si hay algun factor decisivo para realizar la compra con nosotros me informas por favor",4,False,2025-06-26T16:21:02+03:00
saludo_con_solicitud,hola,"hola, me podrias enviar un correo con la solicitud, para reenviarlo, gracias opuedes enviar a alejandra.camargo@pollo-fiesta.com",4,False,2025-09-22T16:54:57+03:00
saludo_con_solicitud,buen dia,"Buen dia, la factura no se ha generado",3,False,2026-02-27T17:45:17+03:00
saludo_con_solicitud,buen dia,"Buen día, mi nombre es Ariel Elizalde y me encuentro en Ecuador. Estoy interesado en adquirir el Detector de Metales FARAÓN P3000 (modelo P253613). ¿Podrían indicarme si tienen disponibilidad? También quisiera saber el precio actualizado, tiempo estimado de envío a Ecuador, y si el valor incluye costos de envío e impuestos aduaneros, o si debo gestionarlos aparte. Agradezco mucho su atención. Quedo pendiente de su respuesta para concretar la compra",3,False,2025-07-02T21:06:41+03:00
saludo_con_solicitud,buen dia,"Buen día, para cotizar un termohidrómetro ASTM S557HL",3,False,2025-08-11T17:12:42+03:00
saludo_con_solicitud,buenas tardes,"Buenas tardes, Te envio el link actualizado con el envio, te genero la proforma",3,False,2026-01-09T23:00:08+03:00
saludo_con_solicitud,buenas tardes,"Buenas tardes, ya reporto a contabilidad, si aplicaste retenciones, me informas cuales",3,False,2026-03-12T23:01:10+03:00
saludo_con_solicitud,buenas,Buenas tardesn pueden recogerlo en Bogota en oficina o se entrega con el mensajero. valor del envio 26.000 + iva https://www.viaindustrial.com/cotizacion.asp?CotCliente=1251281&token=469230&p=P238393 enviame el RUT te realizo el pedido,3,False,2025-10-24T23:42:51+03:00
saludo_con_solicitud,buenos dias,"Buenos dias, en el siguiente link puede ver y descargar la ficha https://www.viaindustrial.com/catalogos_pdf/P118504.pdf revisala y me cuentas si hay algun factor decisivo para realizar la compra con nosotros",3,False,2025-07-23T13:21:48+03:00
saludo_con_solicitud,hola,"hola buen día, <oferta con dsto https://www.viaindustrial.com/cotizacion.asp?CotCliente=1221850&token=458194&p=P101760",3,False,2025-07-07T19:24:24+03:00
saludo_con_solicitud,hola,Hola buenos dias === SYSTEM WZ === La plantilla de marketing no se puede enviar a este cliente en este momento debido a la limitación de mensajes de marketing. Inténtelo de nuevo más tarde o envíe una plantilla de otra categoría,3,False,2025-12-10T19:20:09+03:00
saludo_con_solicitud,hola,"Hola Karen, lamento la demora. Te envio el link de la cotización actualizada con el DESCUENTO y la PT100, te genero la proforma para que aproveches el DESCUENTO",3,False,2025-10-17T02:19:25+03:00
saludo_con_solicitud,hola,"HOLA SOY Angela V tu Ejecutiva de cuenta. Para la factura proforma, por favor me compartes tu RUT o RUC y/o documento de identidad de su empresa en su país, este documento actualizado para crearlo o actualizar la información en el sistema, confirmando: * E-mail habilitado para facturación electrónica * Día de cierre contable * Dirección y ciudad de despacho * Cel y nombre de la persona que recibe",3,False,2025-11-05T20:35:34+03:00
saludo_con_solicitud,hola,"Hola Sra Diana, te aprobaron la compra del sonometro",3,False,2026-03-04T20:24:03+03:00
saludo_con_solicitud,hola,"Hola Tatiana buenas tardes, como estas ? me ayudas validando Direccion Envio DG 30 50 187 BRR ZARAGOCILLA SEC EL CAIRO Cartagena 3205780519 TATIANA BOLAÑO",3,False,2025-12-11T20:04:06+03:00
saludo_con_solicitud,hola,"Hola Tatiana buenas tardes, como estas ? me ayudas validando Direccion Envio DG 30 50 187 BRR ZARAGOCILLA SEC EL CAIRO Cartagena 3205780519 TATIANA BOLAÑO >> >> Confirmado",3,False,2025-12-12T16:06:49+03:00
saludo_con_solicitud,hola,"Hola Tatiana buenos dias, te envio de nuevo la certificacion bancaria para que la compartas y puedan validar",3,False,2025-11-21T13:58:32+03:00
saludo_con_solicitud,hola,"Hola Tatiana, no olvides contarme que te informan de tesoreria",3,False,2025-11-24T19:39:47+03:00
saludo_con_solicitud,hola,"Hola, gracias por contactarnos. Como podemos ayudarte",3,False,2026-02-16T19:17:02+03:00
saludo_con_solicitud,buen dia,Buen dia === SYSTEM WZ === La plantilla de marketing no se puede enviar a este cliente en este momento debido a la limitación de mensajes de marketing. Inténtelo de nuevo más tarde o envíe una plantilla de otra categoría,2,False,2025-10-24T22:52:34+03:00
saludo_con_solicitud,buen dia,"Buen dia por favor ingresar al link de la reunión que fue agendada el día de ayer, esperaré hasta las 10:10 am",2,False,2025-07-22T18:07:54+03:00
saludo_con_solicitud,buen dia,"Buen dia por favor ingresar al link de la reunión que fue agendada el día de ayer, esperaré hasta las 10:10 am === SYSTEM WZ === La plantilla de marketing no se puede enviar a este cliente en este momento debido a la limitación de mensajes de marketing. Inténtelo de nuevo más tarde o envíe una plantilla de otra categoría",2,False,2025-07-22T18:08:05+03:00
saludo_con_solicitud,buen dia,"Buen dia señora Johana, pudieron realizar el pago el dia de ayer",2,False,2026-02-27T17:05:51+03:00
saludo_con_solicitud,buen dia,"buen dia, ahi se le envia actualizada la cotizacion",2,False,2026-03-10T19:40:26+03:00
saludo_con_solicitud,buen dia,"Buen dia, en que le puedo colaborar",2,False,2025-10-06T16:28:49+03:00
saludo_con_solicitud,buen dia,"buen dia, para poder cotizarle necesito EXACTAMENTE la referencia que necesita",2,False,2025-12-04T18:57:06+03:00
saludo_con_solicitud,buen dia,"Buen dia, pudieron realizar el pago",2,False,2026-01-28T22:24:53+03:00
saludo_con_solicitud,buen dia,"Buen dia, pudieron realizar el pago? === SYSTEM WZ === La plantilla de marketing no se puede enviar a este cliente en este momento debido a la limitación de mensajes de marketing. Inténtelo de nuevo más tarde o envíe una plantilla de otra categoría",2,False,2026-01-28T22:25:00+03:00
saludo_con_solicitud,buen dia,"Buen dia, recuerda que estoy al tanto, para poder continuar con la compra",2,False,2025-10-31T19:30:11+03:00
saludo_con_solicitud,buen dia,buen dia. si se realizará la compra,2,False,2026-02-26T19:37:13+03:00
saludo_con_solicitud,buen dia,"buen día, envió en ese enlace ficha",2,False,2025-07-23T18:13:31+03:00
saludo_con_solicitud,buen dia,"Buen día, estoy atenta al soporte",2,False,2026-02-24T18:47:57+03:00
saludo_con_solicitud,buen dia,"Buen día, gracias por comunicarte con INVERSIONES MONITOX ¿Cómo puedo ayudarte",2,False,2025-08-19T15:18:15+03:00
saludo_con_solicitud,buen dia,"Buen día, hay algún elemento similar que pueda homologarse",2,False,2026-03-09T16:02:45+03:00
saludo_con_solicitud,buen dia,"Buen día, Me confirma si continuan con la compra o procedo a liberarla en almacén",2,False,2026-02-26T19:36:29+03:00
saludo_con_solicitud,buen dia,"Buen día, me confirmas si continuan la compra, por favor",2,False,2026-03-06T18:14:09+03:00
saludo_con_solicitud,buen dia,"Buen día, Soy Angela V. tu ejecutiva de cuenta. ¿Recuerdas que te enviamos una oferta? déjame saber si cumple con las características para suplir tu necesidad y si está en tu presupuesto… estoy para servirte",2,False,2025-06-08T03:44:53+03:00
saludo_con_solicitud,buen dia,"Buen día, te consulto, en que estado esta la compra",2,False,2026-03-04T18:48:31+03:00
saludo_con_solicitud,buen dia,"Buen día, veo que no se excluyó dentro de la cotización el valor de la calibración del instrumento por laboratorio acreditado en 17025",2,False,2025-12-04T15:31:34+03:00
saludo_con_solicitud,buena noche,"buena noche, que pena la hora, favor cotizar gracias. KIT SOLAR LUMINARIA 120W PROYECTO DEWATERING",2,False,2025-11-14T04:06:03+03:00
saludo_con_solicitud,buena tarde,"Buena tarde espero estés bien! requiero por favor cotización formal para este producto asi como disponibilidad y si incluye flete hasta Tuluá Valle, gracias",2,False,2025-08-12T23:01:03+03:00
saludo_con_solicitud,buenas tardes,"Buenas tardes don Miguel, soy Estefania. disculpame. teniamos un error en los mensajes. aun esta interesado en la compra de la ponchadora",2,False,2025-08-15T05:06:19+03:00
saludo_con_solicitud,buenas tardes,"Buenas tardes el deshidratador de alimentos LEM Products modelo 1153** es una unidad de alto rendimiento con **10 bandejas cuadradas de 15 x 15 pulgadas**, ideal para preparar snacks saludables, conservar frutas, vegetales, carnes y más. ### Características destacadas: - **Potencia de 800 vatios** con termostato ajustable de 35 °C a 68 °C. - **Temporizador digital** con apagado automático (hasta 30 horas y 55 minutos). - **Puerta transparente** que atrapa el calor y permite ver el proceso. - **Bandeja de goteo grande** para facilitar la limpieza. - **Carcasa de plástico de grado alimenticio** con esquinas reforzadas en aluminio. - **Cable de 60 pulgadas** de largo. - Peso aproximado: 11.7 kg (25.8 lb). Sí, **incluye las 10 bandejas** y está listo para usarse apenas lo recibes",2,False,2025-06-26T22:53:46+03:00
saludo_con_solicitud,buenas tardes,BUenas tardes Estroy a la espera de la ficha tecnica,2,False,2025-06-24T23:41:43+03:00
saludo_con_solicitud,buenas tardes,"Buenas tardes, por el momento solo tenemos el ofertado",2,False,2025-07-03T21:41:47+03:00
saludo_con_solicitud,buenas tardes,"Buenas tardes, tenemos por importacion de 15 dias la siguiente referencia https://www.viaindustrial.com/cotizacion.asp?CotCliente=1256813&token=471305&p=P381758 valida y me confirmas",2,False,2025-11-19T22:28:43+03:00
saludo_con_solicitud,buenos dias,"Buenos dias don Hermes, cuentame si aun estan interesados en la Bomba de vacio, sterlitech",2,False,2025-12-02T18:09:22+03:00
saludo_con_solicitud,buenos dias,"Buenos dias Sra Mayra, te estaba llamando. enviame por favor el RUT y confirmame cual de las referencias van a comprar",2,False,2026-02-20T19:37:58+03:00
saludo_con_solicitud,buenos dias,"Buenos dias Sra Sandra, te estaba llamando para validar para cuando tienen programada la compra de la maquina de hielo para irla separando",2,False,2025-10-24T18:07:41+03:00
saludo_con_solicitud,buenos dias,"buenos dias, en que le puedo colaborar",2,False,2025-06-16T18:47:27+03:00
saludo_con_solicitud,buenos dias,"Buenos dias, ref MI-2088--50 metrel se encuentra DESCONTINUADA no es posible cotizarlo",2,False,2025-07-12T15:32:38+03:00
saludo_con_solicitud,buenos dias,Buenos días me colaboran por favor respondiendo si el equipo detector de metales de mesa industrial para alimentos DETECTION Wizard-donsoar requiere de patrones,2,False,2025-11-27T15:21:07+03:00
saludo_con_solicitud,buenos dias,Buenos días se actualiza propuesta con equipo solicitado,2,False,2025-10-22T18:56:03+03:00
saludo_con_solicitud,cordial saludo,Cordial saludo Le habla Juan Manuel de víaindustrial.com en qué podemos servirles,2,False,2025-03-27T05:57:46+03:00
saludo_con_solicitud,cordial saludo,"Cordial saludo, agradezco el envío el día de mañana. Procedo a revisar",2,False,2025-12-03T02:45:32+03:00
saludo_con_solicitud,hola,"Hola , finales del mes de febrero o principios de marzo",2,False,2026-02-05T18:27:18+03:00
saludo_con_solicitud,hola,Hola buen día Santiago. Cuéntame cómo te fue con la cotización,2,False,2025-09-26T17:48:36+03:00
saludo_con_solicitud,hola,"Hola buen día, carecemos de lo indicado en su mensaje, esperamos poder servir en una próxima ocasión… atentos a sus comentarios y siempre para servirte Esperamos servir en una próxima oportunidad Ingresa a este enlace y Optimiza tu eficiencia en nuestro buscador y ¡Potencia tu industria hoy! https://viaindustrial.bitrix24.es/~9m4hS",2,False,2025-08-29T03:19:21+03:00
saludo_con_solicitud,hola,"Hola buen día, cómo estás",2,False,2025-07-03T16:16:35+03:00
saludo_con_solicitud,hola,"hola buen día, el termómetro ofertado no incluye termocuplas, estas se compran por aparte según la que requieran K, J, E, T, R, S, N y B",2,False,2025-08-19T18:07:09+03:00
saludo_con_solicitud,hola,"hola buen día, el termómetro ofertado no incluye termocuplas, estas se compran por aparte según la que requieran K, J, E, T, R, S, N y B === SYSTEM WZ === No puedes iniciar una correspondencia de 24 horas con este cliente usando la plantilla """"Marketing"""": eso es lo que decidió Meta. Envíe una plantilla de una categoría diferente",2,False,2025-08-19T18:07:20+03:00
saludo_con_solicitud,hola,"hola buen día, en que podemos servir",2,False,2025-10-08T23:17:04+03:00
saludo_con_solicitud,hola,"Hola buen día, lamento la demora teníamos un error en el sistema de mensajes. Si cuenta con 1 año de garantía con nosotros y todo el soporte técnico. Lo tengo para entrega de 15-20 días bajo pedido. Te sirve este tiempo de entrega",2,False,2025-08-14T21:56:46+03:00
saludo_con_solicitud,hola,"Hola buen día, lamento la demora teníamos un error en el sistema de mensajes. Si cuenta con 1 año de garantía con nosotros y todo el soporte técnico. Lo tengo para entrega de 15-20 días bajo pedido. Te sirve este tiempo de entrega? === SYSTEM WZ === No puedes iniciar una correspondencia de 24 horas con este cliente usando la plantilla """"Marketing"""": eso es lo que decidió Meta. Envíe una plantilla de una categoría diferente",2,False,2025-08-14T21:56:51+03:00
saludo_con_solicitud,hola,"Hola buen día, lamento la demora. Te envio el link con la información técnica del Interruptor. Te genero la proforma? para que aproveches el DESCUENTO https://www.viaindustrial.com/interruptor-horario-analogico-orbis-alpha-alpha-orbis/pp/P224007/",2,False,2025-11-29T18:58:30+03:00
saludo_con_solicitud,hola,"hola buen día, si son dos referencias 6.4 metros y otr ad e9 metros",2,False,2025-06-12T15:45:35+03:00
saludo_con_solicitud,hola,Hola buenas tardes me regalas precio por favor de probador automotriz que muestre el voltaje,2,False,2025-10-16T21:08:53+03:00
saludo_con_solicitud,hola,"Hola buenas tardes, espero se encuentre muy bien. paso para validar si ya el cliente les aprobo la compra del caudalimetro",2,False,2025-10-07T23:30:23+03:00
saludo_con_solicitud,hola,"Hola buenas tardes, soy Estefania. Lamento la demora. En la cotización tienes 200 paquetes de 100 boquillas cada uno, es decir 20.000 boquillas, por eso el valor final. Cuantos paquetes necesitas",2,False,2026-01-16T21:49:15+03:00
saludo_con_solicitud,hola,"Hola buenos dias, cuentame con que caracteristicas lo estan solicitando y si te dieron una marca",2,False,2025-12-04T18:07:57+03:00
saludo_con_solicitud,hola,"Hola buenos dias, te actualice la cotizacion con la referencia disponible https://www.viaindustrial.com/cotizacion.asp?CotCliente=1278608&token=479478&p=P251082",2,False,2026-03-06T18:49:53+03:00
saludo_con_solicitud,hola,"Hola buenos días, te envio el link con la información del extractor. Te genero la proforma",2,False,2026-01-21T16:32:31+03:00
saludo_con_solicitud,hola,"hola carezco de ello, sino cong usto",2,False,2025-06-20T07:04:07+03:00
saludo_con_solicitud,hola,"hola Detection Wizard-Donsoar, no necesita patrones de producto para funcionar, pero sí requiere configuración y calibración para cada tipo de alimento que se va a inspeccionar",2,False,2025-11-27T15:29:05+03:00
saludo_con_solicitud,hola,"Hola don Bernardo, claro que si. El envio sería a la misma dirección del ultimo pedido",2,False,2025-07-24T22:03:03+03:00
saludo_con_solicitud,hola,"Hola don Hermes buenos dias, Cuenta con 1 año de garantía por defecto de fabrica, también te brindamos soporte, mantenimiento y capacitación en caso de requerirla, la cual no tiene costo adicional",2,False,2025-10-29T17:16:41+03:00
saludo_con_solicitud,hola,Hola don Jhon muy buenos dias === SYSTEM WZ === La plantilla de marketing no se puede enviar a este cliente en este momento debido a la limitación de mensajes de marketing. Inténtelo de nuevo más tarde o envíe una plantilla de otra categoría,2,False,2026-01-29T18:18:41+03:00
saludo_con_solicitud,hola,"Hola don John buenos dias, te actualice con el valor del envio. cuentame para cuando tienen programado realizar la compra",2,False,2025-09-24T20:07:47+03:00
saludo_con_solicitud,hola,Hola don Jose muy buenos dias,2,False,2025-12-09T16:32:14+03:00
saludo_con_solicitud,hola,"Hola doña Diana, ya te voy a enviar la cotización con los datos indicados",2,False,2025-07-17T00:30:24+03:00
saludo_con_solicitud,hola,"Hola Erika buenos dias, te estaba llamando. cuantas pertigas necesitas",2,False,2025-10-22T19:35:54+03:00
saludo_con_solicitud,hola,"Hola Jully, soy Estefania Gonzalez. cuentame ya te aprobaron la compra",2,False,2025-11-13T19:04:44+03:00
saludo_con_solicitud,hola,"Hola Lisset, como estas? cuéntame cómo te termino de ir con la cotización y el DESCUENTO. Te genero la proforma",2,False,2025-10-14T20:01:25+03:00
saludo_con_solicitud,hola,"Hola muy buenos dias, un favor cuando envien la oc me indicas desde que correo llega por favor",2,False,2025-07-25T15:36:23+03:00
saludo_con_solicitud,hola,"hola no es imposible en menor tiempo y menso pro la temperada, con honestidad debes contemplar el tiempo, asi humanamente intentemos traerlo en menor tiempo",2,False,2025-12-17T23:33:14+03:00
saludo_con_solicitud,hola,hola revise y me corrigieron peso aproximado de 216 libras (unos 98.0 kg),2,False,2025-06-21T02:42:07+03:00
saludo_con_solicitud,hola,"Hola soy Estefania, Cuéntame cómo te fue con la cotización",2,False,2026-03-10T18:12:23+03:00
saludo_con_solicitud,hola,hola ya te la envie al correo,2,False,2025-09-16T20:06:35+03:00
saludo_con_solicitud,hola,Hola ya van a ser las 12 por favor ayúdame con eso es prioritario tener eso aquí el martes si no ya no podríamos comprarles,2,False,2025-06-20T20:30:19+03:00
saludo_con_solicitud,hola,"Hola Yandis buenas tardes, espero estes muy bien. paos para validar para cuando tienen programado la compra de los equipos",2,False,2025-10-03T22:19:23+03:00
saludo_con_solicitud,hola,"Hola Yisell, lamento la demora. Te puedo sostener el precio y el DESCUENTO. Para cuando tienes proyectada la compra",2,False,2026-02-05T18:26:03+03:00
saludo_con_solicitud,hola,"Hola, buena tarde, Espero se encuentren muy bien, mucho gusto hablan con Brayan Mendoza de ILS SAS, el motivo del presente es para solicitarles amablemente cotización del siguiente producto: - Manómetro De 2.000 Psig Especificaciones Técnicas: Racor 1/2 pulgada Diámetro del instrumento 2-1/2 pulgada Paso rosca 18 hilos Exactitud requerida: 0.25% F.S Con certificado de calibración por favor. Disponibilidad Tiempo de Entrega en Bogotá D.C. La cotización puede ser enviada por este medio o al siguiente correo: comercial02@ilssas.com.co y Ficha Técnica por favor. Les agradezco su colaboración, quedo atento a una pronta respuesta",2,False,2025-07-18T23:53:11+03:00
saludo_con_solicitud,hola,"Hola, disculpe, tengo un error en el precio, corrigiendo",2,False,2025-09-16T18:32:14+03:00
saludo_con_solicitud,hola,"Hola, gracias por tu mensaje. En este momento no estamos disponibles, pero responderemos cuando volvamos",2,False,2025-09-15T15:21:31+03:00
saludo_con_solicitud,hola,"Hola, no hay novedad hasta el momento",2,False,2025-11-14T22:54:05+03:00
saludo_con_solicitud,hola,"Hola, quedo atenta del contacto de dn Alvaro",2,False,2026-02-26T00:19:00+03:00
saludo_con_solicitud,hola,"Hola, si claro, te esperamos, lleva esta oferta para facturar",2,False,2025-06-12T23:27:30+03:00
saludo_con_solicitud,hola,"hola, si es el mas pequeño que manejo",2,False,2025-07-30T19:26:36+03:00
saludo_con_solicitud,hola,"hola, somos de Colombia para Perú... saldría de mi país al tuyo gracias y atentos",2,False,2025-09-27T21:34:20+03:00
saludo_con_solicitud,hola,"Hola, soy Estefania, si realizamos envios a peru, en la cotizacion encuentras el valor del envio",2,False,2025-11-13T19:35:28+03:00
saludo_con_solicitud,hola,Hola... ya te realizo la transferencia,2,False,2026-03-11T15:49:24+03:00
saludo_con_solicitud,buen dia,buen dia 40 arrobas de café pergamino seco Capacidad kg por día en las tres mallas 500 kg de café pergamino seco Capacidad volumétrica por día en las tres mallas,1,False,2025-06-28T21:27:18+03:00
saludo_con_solicitud,buen dia,"Buen dia accesorios para un medidor d eagua NO distribuimos, cuando se vende el medidor, el viene con sus respectivos acoples para la instalacion a la tuberia",1,False,2026-03-04T19:27:13+03:00
saludo_con_solicitud,buen dia,buen dia como estas un favor herramienta 983-300 de Jensen Tools bomba desoldadora manual,1,False,2026-01-23T16:57:36+03:00
saludo_con_solicitud,buen dia,buen dia cual seria el precio final para realizar compra,1,False,2025-09-29T20:06:47+03:00
saludo_con_solicitud,buen dia,"Buen dia don Felix, deseando que se encuentre bien. Sigo a la espera de una dirección fisica para la radicación de las facturas electronicas, es de suma importancia, podria ayudarme por favor",1,False,2025-12-01T16:51:13+03:00
saludo_con_solicitud,buen dia,"Buen dia don Jerson, esperando que se encuentre bien Estoy al pendiente de una dirección fisica para la radicación de la factura electrónica del primer equipo que adquirio con nosotros, es de suma importancia que me pueda ayudar, por favor",1,False,2025-12-01T16:54:19+03:00
saludo_con_solicitud,buen dia,Buen dia ese ex el precio 22 millones,1,False,2025-09-01T17:03:00+03:00
saludo_con_solicitud,buen dia,"Buen dia gracias, no me han enviado el video del equipo trabajando",1,False,2025-07-31T19:58:30+03:00
saludo_con_solicitud,buen dia,Buen dia https://meet.google.com/akd-qdca-spc,1,False,2025-07-22T18:10:20+03:00
saludo_con_solicitud,buen dia,Buen dia https://www.viaindustrial.com/cotizacion.asp?CotCliente=1232963&token=462361&p=P251811,1,False,2025-08-16T07:34:22+03:00
saludo_con_solicitud,buen dia,"buen dia la importacion lo mas rapido que se trae es en 20 dias habiels, con ABONO fdel 70% para iniciar la importacion",1,False,2025-11-25T18:54:28+03:00
saludo_con_solicitud,buen dia,buen dia oferta: https://www.viaindustrial.com/cotizacion.asp?CotCliente=1230150&token=461306&p=P185801,1,False,2025-08-05T19:00:33+03:00
saludo_con_solicitud,buen dia,buen dia quisiera saber si manejan estas bandejas,1,False,2025-09-09T16:31:40+03:00
saludo_con_solicitud,buen dia,"Buen dia señor Nicolas, agradeceria un poco de información respecto a la compra",1,False,2026-02-26T18:27:59+03:00
saludo_con_solicitud,buen dia,"Buen dia Sr. Rafael, he intentado comunicarme. Puede darme alguna información sobre la compra",1,False,2025-10-30T18:19:07+03:00
saludo_con_solicitud,buen dia,"Buen dia sra Emilse, el equipo llega el dia de mañana, pero me registra un saldo pendiente, me confirma que retenciones aplicaron, por favor}",1,False,2025-12-11T16:20:59+03:00
saludo_con_solicitud,buen dia,buen dia tengo MRI-3100 seria ofertarte este https://www.viaindustrial.com/cotizacion.asp?CotCliente=1259407&token=472278&p=P243965,1,False,2025-12-01T17:03:27+03:00
saludo_con_solicitud,buen dia,buen dia tienes sensor de temperatura para embobinados de motores electricos tipo pt100 de tres hilos,1,False,2025-12-04T15:16:43+03:00
saludo_con_solicitud,buen dia,buen dia y que cantidad tiene cada unidad? es un galon,1,False,2025-11-25T22:43:57+03:00
saludo_con_solicitud,buen dia,"buen dia, a su correo se le acaba de envia en PDF la cotizacion",1,False,2025-08-14T23:13:41+03:00
saludo_con_solicitud,buen dia,"Buen dia, adjunto link para la reunión a las 10 am",1,False,2025-07-22T17:51:33+03:00
saludo_con_solicitud,buen dia,"Buen dia, como estas? Estoy al pendiente de continuar con la compra, no he recibido mas información",1,False,2025-11-14T18:53:22+03:00
saludo_con_solicitud,buen dia,"Buen dia, como estas? Estoy al pendiente de continuar con la compra, no he recibido mas información === SYSTEM WZ === La plantilla de marketing no se puede enviar a este cliente en este momento debido a la limitación de mensajes de marketing. Inténtelo de nuevo más tarde o envíe una plantilla de otra categoría",1,False,2025-11-14T18:53:27+03:00
saludo_con_solicitud,buen dia,"Buen dia, como estas? has sabido algo",1,False,2025-11-06T18:48:18+03:00
